supervoxel_id	root_id	pos_x	pos_y	pos_z	soma_x	soma_y	soma_z	nucleus_id	flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	ito_lee_hemilineage	hartenstein_hemilineage	morphology_group	top_nt	top_nt_conf	side	nerve	vfb_id	fbbt_id	status
79588287018414555	720575940619648116	130048	25080	3234	130048.0	25080.0	3234.0	4396339.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.7342050887807119	left		fw029647	FBbt_00111443	
79659824061032177	720575940619006087	131867	42534	3895	132464.0	22688.0	2875.0	4919918.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.7154288199904308	right		fw029653	FBbt_00111443	
79588218231956712	720575940626099343	130376	23456	2847	130376.0	23456.0	2847.0	4369857.0	intrinsic	central	CX	columnar		PFL1	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.6947320578099759	right		fw029797	FBbt_00111433	
79166212059649760	720575940624320318	124008	26400	3896	124008.0	26400.0	3896.0	4394698.0	intrinsic	central	CX	columnar		PFL3	DM2_CX_d1	DPMpm1_CX_d1	DM2_CX_d1__0	acetylcholine	0.7282064220550855	left		fw029966	FBbt_00111443	
79447412024067034	720575940617498688	127968	22560	2768	127968.0	22560.0	2768.0	4367737.0	intrinsic	central	CX	columnar		PFL2	DM3_CX_d1	DPMpm2_CX_d1		acetylcholine	0.7342974429672032	left		fw030032	FBbt_00111451	
80292111966333322	720575940631151663	140728	26920	3781	140728.0	26920.0	3781.0	5629353.0	intrinsic	central	CX	columnar		PFL3	DM3_CX_d1	DPMpm2_CX_d1	DM3_CX_d1__0	acetylcholine	0.7536620539975142	right		fw030168	FBbt_00111443	
79517986993999111	720575940630653604	129800	26096	3421	129800.0	26096.0	3421.0	4396270.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.7546879644885026	left		fw030208	FBbt_00111443	
79166212059778693	720575940618759361	123848	27152	3983	123848.0	27152.0	3983.0	4394664.0	intrinsic	central	CX	columnar		PFL3	DM3_CX_d1	DPMpm2_CX_d1	DM3_CX_d1__0	acetylcholine	0.7483358251673827	left		fw030293	FBbt_00111443	
79166005900857682	720575940633848312	124720	23744	3641	124720.0	23744.0	3641.0	4371357.0	intrinsic	central	CX	columnar		PFL1	DM2_CX_d2	DPMpm1_CX_d2	DM2_CX_d2__0	acetylcholine	0.6610099938047391	left		fw030436	FBbt_00111433	
80855818035164015	720575940620952865	149384	38128	5224	149384.0	38128.0	5224.0	6353524.0	intrinsic	central	CX	columnar		PFL2	DM4_CX_d1	CM4_CX_d1		acetylcholine	0.7427895538651804	right		fw030897	FBbt_00111451	
78674661843775202	720575940612272424	117264	41680	5356	117264.0	41680.0	5356.0	3672696.0	intrinsic	central	CX	columnar		PFL1	DM4_CX_d2	CM4_CX_d2	DM4_CX_d2__0	acetylcholine	0.6963248781379554	left		fw030932	FBbt_00111433	
80010568203116382	720575940644706083	136608	26048	3335	136608.0	26048.0	3335.0	4943148.0	intrinsic	central	CX	columnar		PFL3	DM2_CX_d2	DPMpm1_CX_d2	DM2_CX_d2__0	acetylcholine	0.7300695586993168	right		fw030964	FBbt_00111443	
79166143340369336	720575940612936154	124272	26160	4029	124272.0	26160.0	4029.0	4394754.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d1	CM4_CX_d1		acetylcholine	0.7409229474744194	left		fw031039	FBbt_00111443	
78674799283112846	720575940622727629	117304	44184	5645	117304.0	44184.0	5645.0	3672644.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d2	CM4_CX_d2	DM4_CX_d2__0	acetylcholine	0.754685614775729	left		fw031407	FBbt_00111443	
